A,0,1,2,3,4,5,6,7,8,9,label
157,0.000126019,-0.052007772,0.013131621,0.14332964,0.025517704,-0.07995096,-0.06346276,-0.024298158,-0.080531,0.0157275,hold
158,-0.042633843,-0.045598827,0.014321072,-0.021229295,0.039213236,-0.012137958,0.041399505,-0.027774142,-0.039042857,-0.020159755,hold
159,0.06346924,0.016564488,-0.019737024,0.09428895,0.02614603,0.0341048,-0.049941055,0.037279703,0.030622164,0.04389713,hold
160,0.27412173,-0.20939063,0.25484395,0.2726708,0.12578638,0.09519549,-0.19815277,-0.124539904,-0.06747273,0.014882005,hold
161,0.028517,-0.028886028,-0.010065298,-0.027079266,-0.031407803,0.028723976,-0.02313776,0.03372022,0.021107607,-0.008417546,hold
162,0.21911925,-0.06833197,-0.005808091,-0.024337104,0.09733035,-0.06685168,0.042343292,0.05338923,-0.026146458,0.062364347,hold
163,0.026813652,-0.023646966,0.021910578,0.08376948,0.055947054,0.04863885,-0.07006884,-0.013125902,-0.001075138,0.050862536,hold
164,0.096937574,-0.05196564,-0.035038367,0.012632303,0.005508442,0.023428794,-0.005947609,0.014504893,0.012262579,0.04329646,hold
165,0.12235702,-0.118448876,0.040366843,0.04959928,-0.022052336,0.057848178,-0.05110305,0.021150814,-0.03607877,0.032153636,hold
166,0.058619447,-0.005130097,0.087963335,0.08562001,0.051429663,-0.04710953,-0.062923335,-0.055541385,-0.08072557,0.020543411,hold
167,0.007567218,0.033756398,-0.029501636,-0.010317155,-0.005058413,0.00286259,0.011702738,-0.04150922,0.029779756,-0.012682447,hold
168,0.046372157,-0.03287269,0.031950697,0.109876536,-0.010425415,-0.031417638,-0.036739692,-0.050324157,-0.06678795,0.008778073,hold
169,0.10858999,-0.116880186,0.02151999,0.06755142,0.015215726,0.070146434,-0.10209506,-0.037799437,-0.030032557,0.06403549,hold
170,0.044034004,-0.017743502,0.006762493,0.048241045,-0.013182089,0.03510698,-0.031086687,0.04068811,-0.027589915,-0.028907778,hold
171,0.048147045,0.023449065,0.003313824,-0.008471174,0.040607437,0.003498877,0.038423434,-0.050988927,0.014699089,-0.042158227,hold
172,-0.003558777,-0.010700184,-0.01692361,0.06618822,0.040771917,0.042437337,0.010818416,-0.012257342,-0.019514455,0.053003334,hold
173,0.042338435,-0.021388505,-0.005282155,0.010221448,0.05878753,0.012154147,-0.056389682,0.055067927,0.022870358,0.063955046,hold
174,0.05932196,0.009324981,0.087178156,0.10310165,0.021644097,-0.026112475,-0.08883649,-0.005618816,0.008215759,-0.032735273,hold
175,0.09345118,-0.03384705,0.044113934,0.08074732,0.042150162,-0.04823908,-0.06306916,0.006859096,0.054488026,-0.014474833,hold
176,0.080538616,-0.06373753,-0.026263451,-0.015828308,0.002471523,-0.031552028,-0.07037335,-0.06082441,-0.07165559,0.006629526,hold
177,0.06667502,-0.050393097,0.06046095,0.08838487,0.056705017,0.0296124,0.022887232,0.001114282,-0.006083734,0.0370548,hold
178,0.02671846,-0.06705359,0.052674577,0.054657772,-0.033500567,-0.006031288,-0.01478052,0.017596196,0.003054056,0.013291466,hold
179,0.068840176,0.016671004,0.01147675,0.014372667,-0.002772228,-0.046801068,-0.048824552,0.012537586,-0.009026038,0.043266688,hold
180,0.20785294,-0.03604341,0.075315826,0.23315056,0.20482495,0.015580813,-0.05720983,-0.08290529,-0.039268576,-0.008024335,hold
181,0.10245232,-0.062953115,0.030637924,0.07253607,0.06438998,-0.053428657,0.03669898,0.09036127,-0.14854418,-0.009711154,hold
182,0.12646894,-0.08417623,0.030806832,-0.012855995,0.024529126,-0.024129443,0.06115696,-0.044303454,-0.06927838,-0.004051773,hold
183,0.005285149,0.017215585,-0.029124152,0.069159165,0.024813898,-0.003764205,-0.050906725,0.022732442,-0.058807906,0.042123374,hold
184,0.1684889,-0.021330621,0.07399852,0.17304866,0.06037871,0.09868711,-0.0676264,-0.058430947,-0.016918078,0.044156387,hold
185,-0.001324378,0.003171279,0.006060781,0.028963301,0.020435572,-0.027682021,-0.031103743,-0.004998105,-0.006612364,0.001854307,hold
186,0.013603667,-0.004188579,-0.029895868,0.012126036,0.045355357,0.040209506,0.07809466,-0.0655823,0.093879074,0.06344906,hold
187,0.03559292,-0.04164893,0.033387423,0.05826593,0.002982059,0.02379363,-0.004800341,-0.011582306,-0.008160029,0.014197052,hold
188,-0.025190495,0.04240447,-0.04356765,0.01897048,-0.000801726,-0.010558656,0.036448654,-0.02475695,0.045249734,-0.017189458,buy
189,0.028554048,0.024436649,0.03425241,-0.01669176,0.043599248,0.008561488,0.012129321,0.009278445,0.017768234,0.032271698,buy
190,0.09026539,0.078948826,-0.018032862,0.059450775,0.10457677,0.033865113,0.005118495,0.013151068,0.016096074,0.003626107,buy
191,0.07163787,-0.06916129,-0.023019662,0.07019621,-0.015934344,0.007491497,-0.028455649,-0.0506278,-0.035949502,-0.006160206,buy
192,0.114642434,-0.004978677,0.06996787,0.052639388,0.046160687,0.02399157,-0.024665197,-0.084075905,-0.07884601,-0.020596331,buy
193,-0.032081623,-0.01655703,-0.045044567,-0.012824067,-0.013471357,-0.018120378,0.030039707,0.044019938,-0.028882926,0.009425963,buy
194,0.13011186,-0.08433734,0.050780933,0.060410313,0.020320581,-0.0473923,-0.045767,-0.013220415,-0.009822105,0.030192139,buy
195,0.08948517,-0.005338969,0.025055526,0.03411027,0.016447023,0.02189159,-0.0738714,0.05264787,-0.06915439,-0.00614238,buy
196,0.003564067,-0.001730255,0.04402386,0.07784948,-0.018454826,-0.027555816,-0.07496617,-0.03912143,-0.029617237,0.048895076,buy
197,0.048106026,-0.03721771,0.043079957,0.12235758,0.002185169,-0.010515211,-0.103228405,0.01006605,0.009635983,-0.036332894,buy
198,0.031723455,-0.044231165,0.06137397,0.06701107,-0.029640943,0.06202345,-0.0754328,0.022074107,-0.017993536,-0.021150405,buy
